id,loss
105472,37
105473,27
105474,5
105475,13
105476,18
105477,22
105478,17
105479,15
105480,32
105481,11
105482,13
105483,25
105484,42
105485,32
105486,33
105487,25
105488,30
105489,49
105490,35
105491,5
105492,23
105493,37
105494,41
105495,4
105496,33
105497,18
105498,12
105499,2
105500,7
105501,16
105502,32
105503,9
105504,23
105505,17
105506,40
105507,39
105508,34
105509,38
105510,8
105511,15
105512,31
105513,16
105514,6
105515,19
105516,6
105517,13
105518,31
105519,14
105520,37
105521,6
105522,21
105523,37
105524,9
105525,35
105526,22
105527,26
105528,5
105529,32
105530,27
105531,24
105532,20
105533,30
105534,14
105535,7
105536,12
105537,22
105538,14
105539,22
105540,33
105541,24
105542,15
105543,10
105544,29
105545,29
105546,9
105547,3
105548,21
105549,12
105550,20
105551,10
105552,12
105553,42
105554,11
105555,28
105556,28
105557,5
105558,35
105559,23
105560,8
105561,12
105562,5
105563,22
105564,13
105565,12
105566,40
105567,5
105568,12
105569,8
105570,32
105571,26
105572,44
105573,45
105574,5
105575,40
105576,31
105577,21
105578,12
105579,26
105580,10
105581,2
105582,15
105583,20
105584,0
105585,28
105586,27
105587,2
105588,19
105589,24
105590,4
105591,12
105592,1
105593,5
105594,38
105595,41
105596,9
105597,20
105598,22
105599,11
105600,6
105601,3
105602,21
105603,5
105604,8
105605,10
105606,33
105607,35
105608,10
105609,25
105610,17
105611,32
105612,10
105613,15
105614,36
105615,6
105616,11
105617,10
105618,35
105619,3
105620,13
105621,24
105622,6
105623,19
105624,24
105625,14
105626,19
105627,13
105628,15
105629,21
105630,34
105631,17
105632,16
105633,11
105634,4
105635,20
105636,28
105637,1
105638,14
105639,37
105640,24
105641,14
105642,18
105643,19
105644,34
105645,35
105646,14
105647,39
105648,11
105649,3
105650,11
105651,28
105652,3
105653,9
105654,10
105655,9
105656,16
105657,12
105658,10
105659,45
105660,36
105661,18
105662,27
105663,10
105664,22
105665,43
105666,16
105667,9
105668,40
105669,4
105670,24
105671,5
105672,13
105673,34
105674,12
105675,5
105676,12
105677,29
105678,33
105679,7
105680,13
105681,35
105682,31
105683,20
105684,14
105685,4
105686,43
105687,37
105688,13
105689,9
105690,3
105691,12
105692,10
105693,19
105694,14
105695,25
105696,26
105697,26
105698,32
105699,15
105700,22
105701,8
105702,33
105703,1
105704,25
105705,5
105706,25
105707,5
105708,16
105709,10
105710,21
105711,19
105712,34
105713,44
105714,3
105715,18
105716,9
105717,29
105718,10
105719,25
105720,15
105721,16
105722,10
105723,13
105724,18
105725,18
105726,42
105727,26
105728,3
105729,8
105730,7
105731,20
105732,8
105733,12
105734,18
105735,15
105736,4
105737,7
105738,5
105739,17
105740,17
105741,15
105742,14
105743,39
105744,27
105745,14
105746,14
105747,14
105748,16
105749,17
105750,19
105751,8
105752,3
105753,41
105754,37
105755,16
105756,5
105757,14
105758,42
105759,10
105760,3
105761,22
105762,6
105763,26
105764,29
105765,4
105766,11
105767,24
105768,13
105769,11
105770,20
105771,28
105772,9
105773,31
105774,8
105775,9
105776,40
105777,14
105778,39
105779,16
105780,15
105781,10
105782,7
105783,5
105784,13
105785,36
105786,3
105787,6
105788,1
105789,18
105790,27
105791,4
105792,11
105793,28
105794,32
105795,9
105796,10
105797,11
105798,2
105799,3
105800,31
105801,27
105802,34
105803,14
105804,13
105805,30
105806,8
105807,40
105808,28
105809,17
105810,40
105811,0
105812,3
105813,4
105814,4
105815,33
105816,7
105817,22
105818,23
105819,14
105820,19
105821,0
105822,13
105823,4
105824,6
105825,17
105826,24
105827,20
105828,27
105829,21
105830,14
105831,24
105832,11
105833,17
105834,14
105835,14
105836,44
105837,9
105838,10
105839,9
105840,13
105841,30
105842,51
105843,12
105844,18
105845,30
105846,20
105847,10
105848,32
105849,14
105850,35
105851,5
105852,11
105853,13
105854,3
105855,12
105856,25
105857,11
105858,20
105859,5
105860,20
105861,2
105862,5
105863,6
105864,9
105865,12
105866,52
105867,26
105868,16
105869,24
105870,3
105871,13
105872,26
105873,24
105874,17
105875,12
105876,9
105877,27
105878,6
105879,4
105880,40
105881,29
105882,7
105883,17
105884,37
105885,28
105886,11
105887,11
105888,10
105889,12
105890,26
105891,27
105892,12
105893,17
105894,6
105895,51
105896,3
105897,14
105898,16
105899,15
105900,22
105901,28
105902,45
105903,15
105904,18
105905,51
105906,18
105907,13
105908,17
105909,31
105910,12
105911,24
105912,32
105913,9
105914,22
105915,10
105916,9
105917,39
105918,30
105919,19
105920,7
105921,15
105922,14
105923,13
105924,16
105925,29
105926,12
105927,14
105928,22
105929,6
105930,41
105931,12
105932,14
105933,9
105934,33
105935,16
105936,20
105937,40
105938,15
105939,44
105940,8
105941,15
105942,18
105943,59
105944,18
105945,6
105946,30
105947,8
105948,5
105949,20
105950,0
105951,6
105952,18
105953,9
105954,12
105955,37
105956,40
105957,13
105958,38
105959,2
105960,15
105961,15
105962,26
105963,28
105964,39
105965,20
105966,8
105967,30
105968,4
105969,9
105970,13
105971,3
105972,18
105973,45
105974,11
105975,26
105976,6
105977,14
105978,15
105979,21
105980,14
105981,4
105982,13
105983,37
105984,5
105985,5
105986,5
105987,8
105988,1
105989,10
105990,16
105991,8
105992,9
105993,49
105994,27
105995,25
105996,7
105997,11
105998,9
105999,31
106000,22
106001,22
106002,30
106003,28
106004,4
106005,8
106006,28
106007,39
106008,39
106009,5
106010,13
106011,5
106012,39
106013,33
106014,24
106015,21
106016,5
106017,15
106018,22
106019,52
106020,13
106021,38
106022,21
106023,26
106024,37
106025,14
106026,12
106027,5
106028,19
106029,13
106030,44
106031,46
106032,11
106033,12
106034,8
106035,27
106036,13
106037,23
106038,15
106039,10
106040,12
106041,10
106042,29
106043,16
106044,17
106045,13
106046,43
106047,11
106048,14
106049,9
106050,10
106051,31
106052,17
106053,15
106054,13
106055,15
106056,42
106057,12
106058,9
106059,33
106060,9
106061,35
106062,24
106063,11
106064,19
106065,19
106066,8
106067,21
106068,27
106069,10
106070,53
106071,41
106072,19
106073,10
106074,14
106075,31
106076,3
106077,45
106078,19
106079,4
106080,13
106081,17
106082,8
106083,5
106084,21
106085,22
106086,17
106087,10
106088,15
106089,4
106090,23
106091,24
106092,25
106093,28
106094,25
106095,13
106096,26
106097,20
106098,24
106099,27
106100,5
106101,5
106102,35
106103,6
106104,15
106105,15
106106,44
106107,40
106108,16
106109,35
106110,13
106111,16
106112,38
106113,12
106114,35
106115,19
106116,11
106117,25
106118,4
106119,30
106120,30
106121,4
106122,33
106123,23
106124,13
106125,37
106126,5
106127,26
106128,34
106129,2
106130,44
106131,15
106132,32
106133,16
106134,13
106135,12
106136,24
106137,12
106138,2
106139,7
106140,23
106141,24
106142,35
106143,25
106144,30
106145,15
106146,12
106147,4
106148,18
106149,5
106150,12
106151,32
106152,29
106153,30
106154,6
106155,12
106156,36
106157,8
106158,40
106159,14
106160,22
106161,30
106162,12
106163,22
